Signal,Attention,Meditation,delta,theta,alphaL,alphaH,betaL,betaH,gammaL,gammaM,Label
0,29,1,1001763,292536,12353,51474,50960,15840,23456,11653,
0,29,1,105543,18965,987,1799,1375,1215,1270,621,
0,24,1,1291237,516408,139652,37702,52259,24803,23649,25288,
0,24,3,278264,44889,4667,15742,8651,9941,3112,3534,
0,34,3,98462,27319,5129,1375,2660,4551,5391,4837,
0,34,7,1659189,469648,36842,64589,32550,33602,22491,34726,Forward
0,41,10,462363,38454,16728,6262,14728,5854,3744,3591,Forward
0,43,23,125732,36543,77006,7163,12481,20906,11029,14198,Forward
0,47,38,16703,33605,23576,20173,2486,15702,12517,32260,Forward
0,53,53,375286,69757,30235,46910,10446,19125,6404,21064,Forward
0,56,51,93267,13834,5162,801,1496,2406,2827,1630,Forward
0,44,29,685673,160449,5949,15852,10601,8350,6601,15592,Forward
0,27,23,48889,40456,15216,3300,6408,1714,1028,1409,Forward
0,26,26,151341,46534,32998,52881,15963,14678,9811,15765,Forward
0,14,20,119985,90291,11042,10020,19121,3463,3920,4707,Forward
0,13,50,32286,12347,19200,27829,4740,2665,6061,4370,Forward
0,17,50,26867,39834,11855,9775,11121,3093,6402,8882,Forward
0,20,47,17618,20225,9975,17345,9708,5930,7376,3781,Forward
0,24,63,27438,30084,18122,22565,6252,4547,3216,2726,Forward
0,35,57,15407,8086,30039,9415,7907,6625,3837,5412,Forward
0,35,64,10216,28826,10214,14912,4271,2527,4341,2921,Forward
0,38,70,10536,5354,23363,9160,10406,8153,5232,3357,Forward
0,53,70,11344,14159,24949,16307,7651,18214,3315,6537,Forward
0,47,70,19741,37517,42578,37954,2508,7517,5601,4061,Forward
0,54,66,14799,27515,5002,16723,14478,5852,6526,5757,Forward
0,50,63,5060,18851,13016,14221,4594,6070,9055,9428,Forward
0,53,57,14942,10483,9694,6231,4125,10421,5917,2629,Forward
0,56,54,26539,16132,14430,17795,6291,4606,8410,4440,Forward
0,64,60,1967,17420,19820,7042,6388,12516,12995,5046,Forward
0,56,50,30862,93855,16594,15815,3538,6174,6219,4012,Forward
0,40,54,43354,34597,25681,25936,2822,5694,5095,6882,Forward
0,44,60,61953,12122,24383,22520,3653,9790,4909,6361,Forward
0,38,54,33441,35210,8101,13427,5310,7490,5126,4015,Forward
0,48,53,36804,48829,4987,15355,4719,11834,4844,5202,Forward
0,54,60,4259,7865,38221,3739,4680,7436,3237,3985,Forward
0,51,54,14956,23920,33906,5375,3309,6855,6686,4339,
0,53,54,51903,14610,10909,3561,9998,5426,2952,5459,Backward
0,54,74,32444,6800,17892,15306,7142,6887,3727,2048,Backward
0,50,67,5810,16323,31624,5611,4071,5060,3631,4413,Backward
0,51,51,29016,36300,7949,1894,7643,6108,3273,2448,Backward
0,48,57,5771,18636,22387,7858,6534,5483,8804,2097,Backward
0,38,48,622410,23438,15076,2384,3927,2031,1362,1082,Backward
0,38,30,28071,24781,5132,3428,3231,3161,2421,3303,Backward
0,38,41,2527,16648,4910,7272,1765,3637,1863,3484,Backward
0,40,48,11710,6351,24755,10592,4415,6145,2522,2634,Backward
0,43,63,3912,4695,35001,20992,10723,5412,4615,3359,Backward
0,47,83,4805,13084,22946,12802,1662,5202,3374,2097,Backward
0,29,94,38875,24101,48954,10193,6788,1779,2316,1791,Backward
0,30,90,11773,8617,16853,11393,5886,6398,7443,2985,Backward
0,30,83,8896,40099,53842,2868,1115,7016,3806,1679,Backward
0,27,75,9715,22097,22669,1698,2227,3747,2804,1244,Backward
0,40,77,38443,12451,32541,9923,989,4914,3366,1565,Backward
0,23,91,7210,9606,79229,3394,2152,1926,1804,1051,Backward
0,35,90,35689,5503,20661,1932,4618,8826,2082,3406,Backward
0,38,93,7351,12543,21954,4236,4529,4624,2046,727,Backward
0,41,88,1859,1631,5389,497,938,902,616,198,Backward
0,56,78,4120,5981,18249,9242,2057,4303,1227,866,Backward
0,41,80,5918,20970,30503,4947,3485,3266,1802,1078,Backward
0,29,91,4483,3102,15602,3675,690,626,397,418,Backward
0,26,87,8545,14622,16659,4042,4762,3462,2008,1543,Backward
0,20,83,10254,14308,15114,19795,4990,3043,2220,2359,Backward
0,17,88,3779,30023,63545,14890,4281,5383,4037,1546,Backward
0,27,64,20886,37803,8887,8633,3067,5414,1836,1878,Backward
0,27,70,8240,16132,33072,8166,1561,5609,2207,1592,Backward
0,30,70,9840,11891,17172,18310,4367,3796,2269,3007,Backward
0,40,63,20326,12104,14918,2374,6044,4028,1651,1576,
29,0,0,704432,235961,8903,46945,8656,16045,5801,3390,
29,0,0,319833,280764,33796,27571,8905,13617,5497,5362,
29,0,0,387838,64803,21264,8489,24452,7576,7780,2670,
29,0,0,266014,123309,16831,21825,52612,8806,6279,5573,
55,0,0,763939,32071,15110,15110,9418,6773,6772,2493,
55,0,0,520833,10327,4721,6829,7242,4155,1722,723,
29,0,0,154370,253555,27364,41070,15417,9785,9493,4249,Forward
29,0,0,1052816,68670,24326,33430,23496,12241,10750,6740,Forward
29,0,0,62293,33053,4223,7767,6419,4189,3778,1624,Forward
29,0,0,71788,10380,3411,3145,4832,4505,854,703,Forward
29,0,0,1221667,133243,10382,13967,28675,21266,18041,9267,Forward
29,0,0,1753628,357240,24156,117360,338045,75172,67666,57866,Forward
55,0,0,501007,26773,6464,1149,4702,3961,880,1338,Forward
29,0,0,781401,54742,29243,55001,24167,31616,9575,2795,Forward
29,0,0,430218,774386,177733,200428,217615,219749,31054,20404,Forward
29,0,0,191692,172436,47571,17511,23439,23919,17145,7048,Forward
55,0,0,2044298,184226,64934,99798,11686,37930,8341,15947,
29,0,0,1152464,115746,46519,40896,12823,12154,5873,9482,Backward
26,0,0,1403071,335236,76186,46969,71631,127304,109000,47990,Backward
25,0,0,143166,76505,83633,38144,12667,32231,12849,6188,Backward
51,0,0,719377,28999,10663,26054,18714,7859,2799,868,Backward
25,0,0,141803,163579,130541,34762,32376,30436,2895,1499,Backward
54,0,0,578588,234449,80412,46086,53355,55152,10076,7074,Backward
29,0,0,1033559,113498,21788,5309,22173,16373,8365,1728,Backward
29,0,0,1469118,40331,88369,56716,26061,21092,14524,5331,Backward
29,0,0,555523,110402,43495,11814,16498,21325,8733,6051,Backward
29,0,0,2282532,1626387,393915,1040907,459281,146948,52978,67203,Backward
29,0,0,1100117,117189,34543,50288,30364,17147,10282,7963,